postal_code,region
0001,City
0002,Intermediate Area
0003,Country
0004,Country
0005,Country
0006,City
0007,Country
0008,City
0009,Intermediate Area
0010,City
0011,City
0012,Country
0013,City
0014,Intermediate Area
0015,City
0016,Intermediate Area
0017,Intermediate Area
0018,Intermediate Area
0019,Country
0020,Intermediate Area
0021,Country
0022,City
0023,City
0024,Intermediate Area
0025,Intermediate Area
0026,Country
0027,City
0028,City
0029,Intermediate Area
0030,City
0031,Intermediate Area
0032,City
0033,City
0034,Intermediate Area
0035,Intermediate Area
0036,City
0037,Intermediate Area
0038,City
0039,Country
0040,Intermediate Area
0041,Country
0042,Intermediate Area
0043,Intermediate Area
0044,Intermediate Area
0045,Country
0046,Intermediate Area
0047,Country
0048,Country
0049,City
0050,City
0051,City
0052,City
0053,City
0054,Country
0055,Country
0056,Country
0057,Country
0058,City
0059,City
0060,City
0061,City
0062,City
0063,Intermediate Area
0064,Intermediate Area
0065,Country
0066,City
0067,City
0068,City
0069,Intermediate Area
0070,Country
0071,City
0072,Country
0073,Country
0074,Country
0075,Country
0076,Country
0077,City
0078,Intermediate Area
0079,Country
0080,Intermediate Area
0081,Intermediate Area
0082,Country
0083,Intermediate Area
0084,Intermediate Area
0085,Country
0086,City
0087,City
0088,Intermediate Area
0089,Intermediate Area
0090,Intermediate Area
0091,Country
0092,City
0093,City
0094,Intermediate Area
0095,City
0096,Intermediate Area
0097,City
0098,City
0099,Intermediate Area
0100,City
0101,Intermediate Area
0102,Intermediate Area
0103,Country
0104,Intermediate Area
0105,City
0106,Country
0107,Intermediate Area
0108,Intermediate Area
0109,City
0110,City
0111,Intermediate Area
0112,Intermediate Area
0113,Country
0114,Intermediate Area
0115,City
0116,City
0117,Country
0118,City
0119,Country
0120,Country
0121,City
0122,Country
0123,City
0124,Intermediate Area
0125,Country
0126,Country
0127,City
0128,City
0129,Intermediate Area
0130,Intermediate Area
0131,Intermediate Area
0132,Intermediate Area
0133,Country
0134,City
0135,Intermediate Area
0136,Intermediate Area
0137,Country
0138,Intermediate Area
0139,City
0140,Intermediate Area
0141,Country
0142,City
0143,Country
0144,City
0145,Country
0146,Country
0147,City
0148,Country
0149,Country
0150,Intermediate Area
0151,Intermediate Area
0152,City
0153,Country
0154,Intermediate Area
0155,City
0156,Intermediate Area
0157,City
0158,Country
0159,Country
0160,City
0161,Country
0162,Intermediate Area
